65 43 36 47 53 13 11 14 
75 38 13 27 54 13 11 14 
75 42 18 30 53 13 11 14 
75 42 17 42 53 13 11 14 
75 47 17 44 52 13 11 14 
12 14 
75 47 16 41 45 14 11 14 
66 35 17 41 44 14 11 14 
65 35 17 44 45 13 11 13 
66 42 17 30 44 13 11 14 
75 42 17 43 44 13 12 14 
75 44 18 43 45 13 11 15 
75 34 18 43 51 40 16 56 
75 47 18 32 45 42 52 56 
75 42 17 42 53 49 55 56 
75 42 18 41 47 48 54 56 
65 35 18 34 49 47 53 56 
75 35 18 34 53 49 53 56 
75 35 18 34 50 49 55 56 
75 45 18 34 49 48 56 56 
75 42 18 33 53 47 55 56 
75 44 17 33 49 49 53 56 
75 35 18 34 51 47 56 56 
75 35 17 34 49 47 56 56 
